ticker,name,sic_code,sic_description,market,primary_exchange,market_cap,total_employees,list_date,description
A,Agilent Technologies Inc.,3826,LABORATORY ANALYTICAL INSTRUMENTS,stocks,XNYS,33161716346.719997,17900.0,1999-11-18,"Originally spun out of Hewlett-Packard in 1999, Agilent has evolved into a leading life science and diagnostic firm. Today, Agilent's measurement technologies serve a broad base of customers with its ..."
AA,Alcoa Corporation,3334,PRIMARY PRODUCTION OF ALUMINUM,stocks,XNYS,7394250773.28,240.0,2016-10-18,"Alcoa is a vertically integrated aluminum company whose operations include bauxite mining, alumina refining, and manufacturing primary aluminum. It is the world's largest bauxite miner and alumina ref..."
AAAU,Goldman Sachs Physical Gold ETF Shares,6221,COMMODITY CONTRACTS BROKERS & DEALERS,stocks,BATS,,,2018-08-15,
AAP,ADVANCE AUTO PARTS INC,5531,RETAIL-AUTO & HOME SUPPLY STORES,stocks,XNYS,3122125687.7000003,62800.0,2001-11-29,"Advance Auto Parts is a leading auto-parts retailer in North America with more than 4,000 store and branch locations. About half of the firm's sales are geared toward the professional channel, with th..."
AAT,"AMERICAN ASSETS TRUST, INC.",6798,REAL ESTATE INVESTMENT TRUSTS,stocks,XNYS,1246537144.7,230.0,2011-01-13,"American Assets Trust Inc is a self-administered real estate investment trust based in the United States. The company invests in, operates, and develops retail, office, residential, and mixed-use prop..."
AB,"AllianceBernstein Holding, L.P.",6282,INVESTMENT ADVICE,stocks,XNYS,4471160842.61,4341.0,1988-04-14,"AllianceBernstein provides investment management services to institutional (41% of assets under management), retail (41%), and private (18%) clients through products that includes mutual funds, hedge ..."
ABBV,ABBVIE INC.,2834,PHARMACEUTICAL PREPARATIONS,stocks,XNYS,334132796587.32,55000.0,2012-12-10,"AbbVie is a pharmaceutical firm with a strong exposure to immunology (with Humira, Skyrizi, and Rinvoq) and oncology (with Imbruvica and Venclexta). The company was spun off from Abbott in early 2013...."
ABC,,,,,,,,,Error: 请求失败: 404 Client Error: Not Found for url: https://api.polygon.io/v3/reference/tickers/ABC
ABCB,Ameris Bancorp,6022,STATE COMMERCIAL BANKS,stocks,XNYS,4300041657.599999,2691.0,1994-05-19,"Ameris Bancorp is a bank holding company that operates through Ameris Bank, its subsidiary. The company operates branches in Georgia, Alabama, Florida, and South Carolina. It offers traditional bankin..."
ABEV,AMBEV S.A.,,,stocks,XNYS,38728947530.48,42167.0,1996-08-01,"Ambev is the largest brewer in Latin America and the Caribbean and is Anheuser-Busch InBev's subsidiary in the region. It produces, distributes, and sells beer and PepsiCo products in Brazil and other..."
