ticker,name,sic_code,sic_description,market,primary_exchange,market_cap,total_employees,list_date,description
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,XNAS,,5800.0,2021-06-02,"Arch Capital Group Ltd is a Bermuda company that writes insurance and reinsurance with operations in the United States, Canada, Europe, Australia, and the United Kingdom. The business operates through..."
ACHC,"Acadia Healthcare Company, Inc.",8093,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",stocks,XNAS,2025766364.37,25500.0,2011-11-01,Acadia Healthcare Co Inc acquires and develops behavioral healthcare facilities. Acute inpatient psychiatric facilities and specialty treatment facilities contribute the vast majority of Acadia's reve...
ACHV,"Achieve Life Sciences, Inc.",2835,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,stocks,XNAS,130415870.72,25.0,1995-10-12,Achieve Life Sciences Inc is a specialty pharmaceutical company committed to advancing cytisinicline as a widely available treatment option to help people battling nicotine addiction. It is an establi...
ACIC,American Coastal Insurance Corporation Common Stock,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,XNAS,528019259.04,65.0,2007-11-07,American Coastal Insurance Corp is a holding company that underwrites commercial residential property and casualty insurance policies in the United States through its wholly-owned insurance subsidiary...
ACIU,AC Immune SA,,,stocks,XNAS,210861791.70000002,172.0,2016-09-23,"AC Immune SA is a clinical-stage biopharmaceutical company that focuses on neurodegenerative diseases. The company uses its proprietary technology platforms to discover, design, and develop novel prop..."
ACIW,"ACI Worldwide, Inc.",7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,5013154034.55,3103.0,1995-02-23,"ACI Worldwide Inc develops, markets and installs a portfolio of software products focused on facilitating electronic payments. The firm also leverages its distribution network in the Americas; Europe,..."
ACLS,Axcelis Technologies Inc,3559,"SPECIAL INDUSTRY MACHINERY, NEC",stocks,XNAS,2172278064.18,1524.0,2000-07-11,"Axcelis Technologies Inc designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips. In addition to equipment, the company provi..."
ACLX,"Arcellx, Inc. Common Stock",2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,3684434162.58,163.0,2022-02-04,Arcellx Inc a clinical-stage biotechnology company reimagining cell therapy through the development of immunotherapies for patients with cancer and other incurable diseases. Its pipeline includes Mult...
ACMR,"ACM Research, Inc. Class A Common Stock",3559,"SPECIAL INDUSTRY MACHINERY, NEC",stocks,XNAS,1597889890.08,2023.0,2017-11-03,"ACM Research Inc supplies advanced, innovative capital equipment developed for the global semiconductor industry. Fabricators of advanced integrated circuits, or chips, can use its wet-cleaning and ot..."
ACNB,ACNB Corp,6022,STATE COMMERCIAL BANKS,stocks,XNAS,434972179.58,416.0,1995-04-25,"ACNB Corp provides banking, insurance, and financial services to businesses and consumers, through its wholly-owned subsidiaries, ACNB Bank and ACNB Insurance Services, Inc. The corporation has two re..."
ACOG,Alpha Cognition Inc. Common Stock,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,146901446.79,57.0,2021-06-09,"Alpha Cognition Inc is a biopharmaceutical company dedicated to developing treatments for patients suffering from neurodegenerative diseases, such as Alzheimer's disease, for which there are limited o..."
ACTG,Acacia Research Corporation,6794,PATENT OWNERS & LESSORS,stocks,XNAS,367375901.64,1036.0,2002-12-16,"Acacia Research Corp is focused on acquiring and operating businesses across the industrial, energy, and technology sectors where it believes it can leverage its expertise, capital base, and deep indu..."
ACTU,"Actuate Therapeutics, Inc. Common stock",2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,170887238.60000002,10.0,2024-08-13,"Actuate Therapeutics Inc is a clinical stage biopharmaceutical company focused on developing therapies for the treatment of high impact, difficult to treat cancers through the inhibition of glycogen s..."
ACWI,iShares MSCI ACWI ETF,,,stocks,XNAS,,,2008-03-28,
ACWX,iShares MSCI ACWI ex US ETF,,,stocks,XNAS,,,2008-03-28,
ADBE,Adobe Inc.,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,177410012000.0,30709.0,1986-08-20,"Adobe provides content creation, document management, and digital marketing and advertising software and services to creative professionals and marketers for creating, managing, delivering, measuring,..."
ADEA,Adeia Inc. Common Stock,4841,CABLE & OTHER PAY TELEVISION SERVICES,stocks,XNAS,1491872965.0,150.0,2003-11-13,"Adeia Inc is a consumer and entertainment product/solutions licensing company. Its only operating segment being Intellectual Property (IP) Licensing. In the IP segment, it primarily license innovation..."
ADI,"Analog Devices, Inc.",3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,112975864301.36,24000.0,1972-06-01,"Analog Devices is a leading analog, mixed-signal, and digital-signal processing chipmaker. The firm has a significant market share lead in converter chips, which are used to translate analog signals t..."
ADMA,"ADMA Biologics, Inc.",2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,4982383714.02,685.0,2013-10-17,"ADMA Biologics Inc is an end-to-end commercial biopharmaceutical company dedicated to manufacturing, marketing and developing specialty plasma-derived biologics for the treatment of immunodeficient pa..."
ADP,Automatic Data Processing,7374,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,stocks,XNAS,129314810148.93,64000.0,1968-01-31,"Automatic Data Processing is a global technology company providing cloud-based human capital management solutions enabling clients to better implement payroll, talent, time, tax, and benefits administ..."
ADPT,Adaptive Biotechnologies Corporation Common Stock,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,1587529744.8999999,619.0,2019-06-27,Adaptive Biotechnologies Corp is a company advancing the field of immune-driven medicine by harnessing the inherent biology of the adaptive immune system to transform the diagnosis and treatment of di...
ADSK,Autodesk Inc,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,63586455247.35,15300.0,1985-07-01,"Founded in 1982, Autodesk is an application software company that serves industries in architecture, engineering, and construction; product design and manufacturing; and media and entertainment. Autod..."
ADTN,"ADTRAN Holdings, Inc. Common Stock",3661,TELEPHONE & TELEGRAPH APPARATUS,stocks,XNAS,665871697.9200001,3234.0,1994-08-09,"Adtran Holdings Inc is a provider of networking and communications platforms, software, and services focused on the broadband access market. It operates under two reportable segments: Network Solution..."
ADUR,Aduro Clean Technologies Inc. Common Stock,,,stocks,XNAS,243518623.79,6.0,2021-06-14,Aduro Clean Technologies Inc is a developer of patented water-based technologies to chemically recycle plastics and transform heavy crude and renewable oils into feedstocks and higher-value fuels. The...
ADUS,Addus HomeCare Corp.,8082,SERVICES-HOME HEALTH CARE SERVICES,stocks,XNAS,2144603641.8400002,49703.0,2009-10-27,"Addus HomeCare Corp is engaged in the provision of in-home personal care services. It operates through the segments such as Personal care segment, which is a key revenue driver, provides non-medical a..."
ADV,Advantage Solutions Inc. Class A Common Stock,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,XNAS,463766160.0,69000.0,2020-10-29,"Advantage Solutions Inc is a omnichannel retail solutions agency in North America, uniquely positioned at the intersection of consumer-packaged goods (CPG) brands and retailers...."
AEHR,Aehr Test Systems,3825,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,stocks,XNAS,350707209.79999995,115.0,1997-08-15,"Aehr Test Systems is engaged in test systems for burning-in and testing logic, optical, and memory integrated circuits. Increased quality and reliability needs of the Automotive and Mobility integrate..."
AEIS,Advanced Energy Industries Inc,3679,"ELECTRONIC COMPONENTS, NEC",stocks,XNAS,4734411430.32,10000.0,1995-11-17,Advanced Energy Industries Inc provides precision power-conversion measurement and control solutions that transform power into various forms for use in manufacturing and industrial equipment and appli...
AEP,"American Electric Power Company, Inc.",4911,ELECTRIC SERVICES,stocks,XNAS,54172717586.659996,16330.0,1949-09-01,"American Electric Power is one of the largest regulated utilities in the United States, providing electricity generation, transmission, and distribution to more than 5 million customers in 11 states. ..."
AEVA,"Aeva Technologies, Inc.",3714,MOTOR VEHICLE PARTS & ACCESSORIES,stocks,XNAS,1198393186.3200002,276.0,2021-03-15,"Aeva Technologies Inc through its Frequency Modulated Continuous Wave (FMCW) sensing technology, designs a 4D LiDAR-on-chip that, along with its proprietary software applications, has the potential to..."
AEYE,"AudioEye, Inc. Common Stock",7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,154483031.6,117.0,2013-04-15,"AudioEye Inc is a software solution provider delivering immediate ADA and WCAG accessibility compliance at scale. Through patented technology, subject matter expertise and proprietary processes, it is..."
AFCG,Advanced Flower Capital Inc. Common Stock,6500,REAL ESTATE,stocks,XNAS,124729958.63999999,,2021-03-19,Advanced Flower Capital Inc is a commercial mortgage REIT that provides institutional loans to cannabis operators in the U.S. Through the management team's deep network and related credit and cannabis...
AFRM,"Affirm Holdings, Inc. Class A Common Stock",6141,PERSONAL CREDIT INSTITUTIONS,stocks,XNAS,19788281485.06,2006.0,2021-01-13,"Affirm Holdings Inc offers a platform for digital and mobile-first commerce. It comprises a point-of-sale payment solution for consumers, merchant commerce solutions, and a consumer-focused app. The f..."
AFYA,Afya Limited Class A Common Shares,,,stocks,XNAS,1586323738.3500001,9717.0,2019-07-19,"Afya Ltd is a medical education group based in Brazil. Its education portfolio has several courses in addition to Medicine, such as Management, Dentistry, Law, Engineering, Nursing, Psychology, and Ac..."
AGEN,Agenus Inc.,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,152163517.5,316.0,2000-02-04,"Agenus Inc is an American clinical-stage company with a pipeline of therapies designed to activate the body's immune system to fight cancer and infections, including immune-modulatory antibodies, adop..."
AGIO,"Agios Pharmaceuticals, Inc.",2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,1949425598.34,488.0,2013-07-24,"Agios Pharmaceuticals Inc is a biopharmaceutical company focused on the field of cellular metabolism to create differentiated medicines for rare diseases, with a focus on classical hematology. The com..."
AGNC,AGNC Investment Corp. Common Stock,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,XNAS,9397657489.26,53.0,2008-05-15,AGNC Investment Corp is a real estate investment trust that invests in agency residential mortgage-backed securities. The firm's asset portfolio is comprised of residential mortgage pass-through secur...
AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",6798,REAL ESTATE INVESTMENT TRUSTS,stocks,XNAS,,53.0,2022-09-07,AGNC Investment Corp is a real estate investment trust that invests in agency residential mortgage-backed securities. The firm's asset portfolio is comprised of residential mortgage pass-through secur...
AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7 percent Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",6798,REAL ESTATE INVESTMENT TRUSTS,stocks,XNAS,,53.0,2017-08-16,AGNC Investment Corp is a real estate investment trust that invests in agency residential mortgage-backed securities. The firm's asset portfolio is comprised of residential mortgage pass-through secur...
AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",6798,REAL ESTATE INVESTMENT TRUSTS,stocks,XNAS,,53.0,2019-09-27,AGNC Investment Corp is a real estate investment trust that invests in agency residential mortgage-backed securities. The firm's asset portfolio is comprised of residential mortgage pass-through secur...
AGYS,"Agilysys, Inc. Common Stock (DE)",7373,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,stocks,XNAS,3185568374.4,2200.0,1973-01-02,"Agilysys Inc provides hospitality software delivering cloud-native SaaS and on-premise solutions for hotels, resorts, cruise lines, casinos, corporate foodservice management, restaurants, universities..."
AGZD,WisdomTree Trust WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,,,stocks,XNAS,,,2013-12-18,
AHCO,AdaptHealth Corp. Common Stock,8082,SERVICES-HOME HEALTH CARE SERVICES,stocks,XNAS,1190240486.82,10500.0,2018-04-16,"AdaptHealth Corp is engaged in providing patient-centered, healthcare-at-home solutions including home medical equipment (HME), medical supplies, and related services. It focuses on providing; sleep t..."
AIA,iShares Asia 50 ETF,,,stocks,XNAS,,,2007-11-16,
AIFF,"Firefly Neuroscience, Inc. Common Stock",7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,41927186.0,13.0,2024-08-13,Firefly Neuroscience Inc is an AI company developing neuroscientific solutions that improve outcomes for patients with mental illnesses and cognitive disorders. It is focused on the commercialization ...
AIFU,AIFU Inc. Class A Ordinary Share,,,stocks,XNAS,9757039.68,4707.0,2025-05-21,"AIFU Inc is an independent financial services provider in China. It offer end-to-end business solutions spanning compliance, technology, products, services, capital flow and professional training. It ..."
AIOT,"PowerFleet, Inc. Common Stock",3669,"COMMUNICATIONS EQUIPMENT, NEC",stocks,XNAS,633394659.5400001,1954.0,1999-06-30,PowerFleet Inc is engaged in Internet-of-Things (IoT) solutions providing valuable business intelligence for managing high-value enterprise assets that improve operational efficiencies. It provide cri...
AIP,"Arteris, Inc. Common Stock",3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,336241601.28,270.0,2021-10-27,"Arteris Inc is a provider of semiconductor system IP, including interconnect and other intellectual property, (collectively, System IP) technology. Its IP technology manages the on-chip communications..."
AIPI,REX AI Equity Premium Income ETF,,,stocks,XNAS,,,2024-06-04,
AIQ,Global X Funds Global X Artificial Intelligence & Technology ETF,,,stocks,XNAS,,,2018-05-15,
AIRJ,AirJoule Technologies Corporation Class A Common Stock,3585,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,stocks,XNAS,266844292.76,17.0,2024-03-15,"AirJoule Technologies Corp is the developer of AirJoule, an atmospheric water harvesting technology that provides efficient and sustainable air dehumidification and pure water from air. AirJoule can a..."
AIRS,"AirSculpt Technologies, Inc. Common Stock",8011,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,stocks,XNAS,315189942.5,422.0,2021-10-29,"AirSculpt Technologies Inc is a national provider of body contouring procedures delivering a premium consumer experience under its brand Elite Body Sculpture. Elite Body Sculpture, provides custom bod..."
AISP,"Airship AI Holdings, Inc. Class A Common Stock",7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,161769912.68,52.0,2023-12-22,Airship AI Holdings Inc is a robust AI-driven data management platform that solves complex data challenges for large institutions operating in dynamic and mission-critical environments with rapidly in...
AKAM,Akamai Technologies Inc,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,XNAS,11113587540.48,10700.0,1999-10-29,"Akamai operates a content delivery network, which entails locating servers at the edges of networks so its customers, which store content on Akamai servers, can reach their own customers faster, more ..."
AKRO,"Akero Therapeutics, Inc. Common Stock",2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,4361348254.7,69.0,2019-06-20,Akero Therapeutics Inc is a clinical-stage biotechnology company focused on developing and commercializing transformative treatments for serious metabolic diseases with high unmet medical needs. Its f...
AKYA,"Akoya BioSciences, Inc. Common Stock",3826,LABORATORY ANALYTICAL INSTRUMENTS,stocks,XNAS,55860446.88,205.0,2021-04-16,"Akoya Biosciences Inc is a life sciences technology company. It is delivering spatial biology solutions focused on transforming discovery, clinical research and diagnostics. Its PhenoCycler (formerly ..."
ALAB,"Astera Labs, Inc. Common Stock",3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,15230067772.9,440.0,2024-03-20,"Astera Labs Inc designs and delivers semiconductor-based connectivity solutions for cloud and AI infrastructure. Its Intelligent Connectivity Platform integrates semiconductor technology, microcontrol..."
ALAR,Alarum Technologies Ltd. American Depositary Share,,,stocks,XNAS,79507028.7,65.0,2017-06-01,"Alarum Technologies Ltd is a software-as-a-service (SaaS) provider operating mainly in the web data collection market, offering web data collection and a private internet browsing platform. The compan..."
ALDX,"Aldeyra Therapeutics, Inc.",2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,159921219.96,8.0,2014-05-02,Aldeyra Therapeutics Inc is a biotechnology company engaged in developing and commercializing next-generation medicines to improve the lives of patients with immune-mediated and metabolic diseases. Th...
ALEC,"Alector, Inc. Common Stock",2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,143989344.0,175.0,2019-02-07,Alector Inc is a clinical-stage biopharmaceutical company. It is engaged in developing a novel therapeutic approach for the treatment of neurodegeneration. The firm is involved in developing therapies...
ALGM,"Allegro MicroSystems, Inc. Common Stock",3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,5510056594.400001,4060.0,2020-10-29,"Allegro Microsystems Inc is a designer, developer, fabless manufacturer, and marketer of sensor ICs and application-specific analog power ICs for automotive and industrial markets. Its Sensor IC allow..."
ALGN,Align Technology Inc,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",stocks,XNAS,13114682282.130001,21200.0,2001-01-26,"Align Technology is the leading manufacturer of clear aligners. Invisalign, its main product, was approved by the Food and Drug Administration in 1998 and has since dominated, controlling over 90% of ..."
ALGT,Allegiant Travel Company,4512,"AIR TRANSPORTATION, SCHEDULED",stocks,XNAS,1043623714.48,6057.0,2006-12-08,"Allegiant Travel Co is a leisure travel company focused on providing travel and leisure services and products to residents of under-served cities in the United States. It operates a low-cost, low util..."
ALHC,"Alignment Healthcare, Inc. Common Stock",6324,HOSPITAL & MEDICAL SERVICE PLANS,stocks,XNAS,2924124742.56,1679.0,2021-03-26,"Alignment Healthcare Inc is a next-generation, consumer-centric platform that is revolutionizing the healthcare experience for seniors through Medicare Advantage plans. These plans are marketed and so..."
ALKS,Alkermes Inc. plc,2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,5135026014.9,1800.0,1991-07-16,"Alkermes PLC is a fully integrated biotechnology company that applies its proprietary technologies to research, develop, and commercialize pharmaceutical products designed for unmet medical needs in t..."
ALKT,"Alkami Technology, Inc. Common Stock",7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,3133867669.92,938.0,2021-04-14,"Alkami Technology Inc is a cloud-based digital banking solutions provider. The company's solution, the Alkami Digital Banking Platform, allows FIs to onboard and engage new users, accelerate revenues ..."
ALLO,"Allogene Therapeutics, Inc. Common Stock",2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",stocks,XNAS,308410440.69,361.0,2018-10-11,"Allogene Therapeutics Inc is a clinical-stage biotech firm specializing in immuno-oncology, focusing on the development of genetically engineered allogeneic T-cell products for cancer and autoimmune d..."
ALLT,Allot Ltd. Ordinary Shares,,,stocks,XNAS,355250685.29999995,495.0,2006-11-16,"Allot Ltd is a provider of network intelligence and security solutions for service providers and enterprises. The company's solutions are deployed globally for network and application analytics, traff..."
ALMS,Alumis Inc. Common Stock,2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,353305884.33000004,184.0,2024-06-28,"Alumis Inc is a clinical-stage biopharmaceutical company focused on identifying, acquiring, and accelerating the development and commercialization of transformative medicines for autoimmune disorders...."
ALNT,Allient Inc. Common Stock,3825,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,stocks,XNAS,564747636.96,2525.0,1980-10-21,"Allient Inc, formerly Allied Motion Technologies Inc designs, manufactures, and sells precision and specialty motion control components and systems. The firm primarily caters to the vehicle, medical, ..."
ALNY,"Alnylam Pharmaceuticals, Inc.",2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,39638071472.0,2230.0,2004-05-28,Alnylam Pharmaceuticals is a leader in the study of RNA interference (RNAi) therapeutics. RNAi is a naturally occurring biological pathway within cells for sequence-specific silencing and regulation o...
ALRM,"Alarm.com Holdings, Inc.",7372,SERVICES-PREPACKAGED SOFTWARE,stocks,XNAS,2940250151.99,2020.0,2015-06-26,"Alarm.com Holdings Inc has a cloud-based platform that offers an expansive suite of IoT solutions addressing world-wide opportunities in the residential, multi-family, small business and enterprise co..."
ALRS,Alerus Financial Corporation Common Stock,6021,NATIONAL COMMERCIAL BANKS,stocks,XNAS,545615389.62,892.0,1999-11-05,"Alerus Financial Corp is a financial holding company registered in the United States. The company operates in four segments: Banking, Retirement & Benefit Services, Wealth Management, and Mortgage. It..."
ALT,"Altimmune, Inc. Common Stock",2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,482586489.35,59.0,2005-10-06,"Altimmune Inc is a clinical-stage biopharmaceutical company focused on developing treatments for obesity, metabolic diseases, and liver diseases. Its product candidate, pemvidutide (formerly known as ..."
ALTI,"AlTi Global, Inc. Class A Common Stock",6282,INVESTMENT ADVICE,stocks,XNAS,372528848.78,430.0,2023-01-04,"AlTi Global Inc is an independent wealth and asset manager providing entrepreneurs, multi-generational families, institutions, and emerging next-generation leaders with fiduciary capabilities as well ..."
ALTO,"Alto Ingredients, Inc. Common Stock",2860,INDUSTRIAL ORGANIC CHEMICALS,stocks,XNAS,79527399.01,393.0,1994-10-31,"Alto Ingredients Inc is a producer of specialty alcohols and essential ingredients. The company serves five markets: Health, Home and Beauty, Food and Beverage, Essential Ingredients, and Renewable Fu..."
ALXO,ALX Oncology Holdings Inc. Common Stock,2834,PHARMACEUTICAL PREPARATIONS,stocks,XNAS,30928054.373999998,65.0,2020-07-17,ALX Oncology Holdings Inc is a clinical-stage immuno-oncology company focused on helping patients fight cancer by developing a pipeline of product candidates based on expertise in protein engineering ...
AMAL,Amalgamated Financial Corp. Common Stock (DE),6022,STATE COMMERCIAL BANKS,stocks,XNAS,937575224.5,429.0,2018-06-06,Amalgamated Financial Corp is a bank holding company. It is a full-service commercial bank and a chartered trust company. It provides commercial banking and trust services nationally and offers variou...
AMAT,Applied Materials Inc,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,136256172264.43,35700.0,1972-10-12,"Applied Materials is the largest semiconductor wafer fabrication equipment, or WFE, manufacturer in the world. Applied Materials has a broad portfolio spanning nearly every corner of the WFE ecosystem..."
AMBA,"Ambarella, Inc. Ordinary Shares",3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,2306053910.19,350.0,2012-10-10,"Ambarella Inc is a developer of semiconductor processing solutions for high-definition video capture, sharing, and display. The firm's solutions are sold to original design manufacturers and original ..."
AMCX,AMC Networks Inc. Class A,4841,CABLE & OTHER PAY TELEVISION SERVICES,stocks,XNAS,303259126.5,1800.0,2011-06-16,"AMC Networks owns several linear pay-TV networks, including AMC, WE tv, BBC America, IFC, and SundanceTV. AMC, its most widely distributed network, reached 60 million pay-TV households in the US at th..."
AMD,Advanced Micro Devices,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,XNAS,197373532657.35,28000.0,1973-01-02,"Advanced Micro Devices designs a variety of digital semiconductors for markets such as PCs, gaming consoles, data centers, industrial, and automotive applications. AMD's traditional strength was in ce..."
